PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	mean_KL	cor_entropy_iwcn
1B4T	A	0.271864567477	1.60533404453	0.0847660109764	3.30705419467	0.110923729212
1CI0	A	0.286064887526	2.17888197308	-0.104415601576	4.26011827964	-0.175446497116
1EFV	B	0.30072727118	1.8868982823	0.0550537660341	3.72806444339	0.0276266079171
1G58	B	0.240971720328	1.96701988411	0.10062235796	3.58741640224	0.0157620775782
1GV3	A	0.234670622191	2.13454483463	0.114286707198	3.54320221798	0.0224411593373
1HUJ	A	0.229433926429	1.97643519857	-0.000819928493402	3.48125023686	-0.100132980783
1HUR	A	0.257334788616	1.73106611942	0.0932203861988	3.73622744455	0.120583663273
1IBS	A	0.23927975617	1.80988725607	0.194788218473	3.60468816408	0.14120813686
1JLW	A	0.252546244352	2.01074990137	0.0615545828412	3.88217661667	0.0469605562463
1KY2	A	0.277746549113	1.83924636653	0.131212611112	3.30851820385	0.118143564393
1KZL	A	0.272263998943	1.68684654482	0.0338288184888	3.94786340355	0.0281457158541
1M3U	A	0.216935327278	1.96816529757	0.0949710510427	3.3488638498	-0.0406609637459
1MOZ	A	0.24925475052	1.97297643654	0.16074616071	3.61769779868	0.138924469564
1OKC	A	0.273555885293	2.35318079391	0.0335276723593	4.31798231675	-0.0529014888458
1PV1	A	0.214651335954	1.67554955052	0.0708502183761	4.01874072826	-0.0180233198712
1QMV	A	0.267037249942	1.68827936425	-0.0359089035317	3.42469025677	-0.0674464921432
1R6M	A	0.251870117166	1.84550454937	0.110429823541	3.77809246467	-0.0101436567809
1RII	A	0.238112161049	1.84439515332	0.230767338422	3.29299864568	0.164134198983
1V9S	B	0.291048527792	1.80662947251	0.132737453949	3.98200127547	0.0665541616068
1W7W	B	0.28605603807	1.9623847919	0.140902093714	3.86148697743	0.039449878445
1X1O	B	0.259761605593	1.71485153754	0.190642248995	3.74580557379	0.142557551215
1XTD	A	0.359417870806	1.84346611833	0.0987803503723	4.14610182963	0.114972122086
1YPI	A	0.249239643811	1.93476518958	0.097710114783	3.79403553582	0.0145138507332
1YSB	A	0.244461153636	1.79417241111	0.200735693688	3.52090656832	0.147086593592
1ZNN	A	0.24831884401	1.97702403947	0.110987441743	2.9704370505	0.0607603683357
1ZWK	A	0.260574665389	1.84419322485	-0.0357764175527	3.5792494488	-0.0890789732626
2A84	A	0.263706110583	2.01926823778	0.021386523509	3.83638814602	-0.16006478211
2AIU	A	0.311907544476	1.56157876048	-0.22090878649	3.28526518667	-0.147543935877
2BCG	Y	0.294191626365	1.76693859167	0.01036292384	3.49940378371	0.0100174611774
2BR9	A	0.268165763329	2.28473235665	0.196433169689	3.56117553439	0.195310285494
2CFE	A	0.243569700844	1.70429317227	0.0384164907263	2.80134532378	0.063544537861
2CJM	C	0.253074315573	1.70053867648	-0.0347797712816	3.42213741518	-0.132893411853
2CNV	A	0.252445096167	2.01610846717	-0.0372281490117	3.53572528362	-0.13840808295
2ESF	A	0.286815097759	2.19846877561	0.113729804686	3.68192862208	0.086381030167
2EU8	A	0.266040799893	2.10609507275	0.0807391368598	3.37602520007	-0.0407351871255
2FLI	A	0.231035159097	1.86487723615	0.0261689062285	3.63825903338	-0.004903319994
2G0N	B	0.263307149214	2.1890636066	-0.0286195284746	3.38707301603	-0.0644647045167
2GV5	D	0.367905374418	2.05303361818	0.0310346637939	3.51121067662	-0.0239478326324
