PDB	chain	mean_RSA	mean_entropy	cor_entropy_RSA	split_mean_KL	cor_entropy_icn	cor_entropy_iwcn
1B4T	A	0.271864567477	3.62347196064	0.552814063176	0.153744221137	0.482158031406	0.520175065513
1CI0	A	0.286064887526	4.10645350892	0.475358105936	0.20495625429	0.444703454336	0.41150250056
1EFV	B	0.30072727118	2.64064425529	0.177294761278	0.148961287126	0.202919240861	0.229358499509
1G58	B	0.240971720328	3.3890122991	0.27215281954	0.110588086125	0.236807069914	0.242088246769
1GV3	A	0.234670622191	3.59221774906	0.428085453371	0.148793603764	0.3912078214	0.384973891404
1HUJ	A	0.229433926429	3.50943010003	0.516921206609	0.272812873617	0.478277208364	0.527335749845
1HUR	A	0.257334788616	3.21812445265	0.374459478643	0.152403840715	0.352909370715	0.334747192977
1IBS	A	0.23927975617	3.69408890841	0.207636762672	0.0907084506359	0.188148620941	0.231184874827
1JLW	A	0.252546244352	2.85200869542	0.282870923905	0.226173202964	0.226535269135	0.233081472824
1KY2	A	0.277746549113	3.28524958773	0.470962068668	0.288145037853	0.481704899705	0.471529652553
